,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,344,12,5,0,0
Retinopatia leve,3,49,21,1,0
Retinopatia moderada,8,19,147,15,11
Retinopatia severa,0,0,12,16,11
Retinopatia proliferativa,0,9,22,4,24
