,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,351,7,2,0,1
Retinopatia leve,5,47,20,1,1
Retinopatia moderada,5,23,141,19,12
Retinopatia severa,0,0,12,22,5
Retinopatia proliferativa,0,9,16,7,27
