phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.264532860051408,0.6822940373236231,1.1243552927111016,0.7336065573770492,0.001
head,2,1.0200128582156567,0.7350933090578061,1.0585796129508096,0.7199453551912568,0.001
head,3,0.9383722381750236,0.7651342740100137,0.9719965184321169,0.75,0.001
head,4,0.9036999878744456,0.7724169321802458,0.9421598149127648,0.7540983606557377,0.001
head,5,0.8738895361945473,0.7696859353664087,0.9378009331030924,0.7622950819672131,0.001
head,6,0.8560687680379011,0.7783340919435594,1.001531114343737,0.755464480874317,0.001
head,7,0.826206572988004,0.7751479289940828,0.9380870353980143,0.7622950819672131,0.001
head,8,0.8070221503159649,0.7933545744196632,0.89936342591145,0.7691256830601093,0.001
head,9,0.7955085719288291,0.8033682294037323,0.9006977100841335,0.7609289617486339,0.001
head,10,0.7951549665462336,0.7992717341829768,0.8957194910674798,0.7486338797814208,0.001
fine_tuning,1,0.7659568566054065,0.8056440600819299,0.8710724506221834,0.7595628415300546,1e-05
fine_tuning,2,0.7520778290401766,0.8079198907601275,0.868738977635493,0.7650273224043715,1e-05
fine_tuning,3,0.7201137223946923,0.8197542102867547,0.8506151183706815,0.7663934426229508,1e-05
fine_tuning,4,0.7038667422834178,0.8252162039144287,0.8455595207996056,0.755464480874317,1e-05
fine_tuning,5,0.7012970892472543,0.8261265361857077,0.8375603742286807,0.76775956284153,1e-05
fine_tuning,6,0.687176237770466,0.8293126991351844,0.8348764630614735,0.7636612021857924,1e-05
fine_tuning,7,0.6923745017351212,0.8261265361857077,0.8319363046864994,0.7691256830601093,1e-05
fine_tuning,8,0.6652497432966584,0.83340919435594,0.8297562169246986,0.7745901639344263,1e-05
fine_tuning,9,0.6440298763198314,0.8479745106964042,0.8236283532908706,0.7718579234972678,1e-05
fine_tuning,10,0.6302045136079715,0.8393263541192535,0.8211266222547312,0.7841530054644809,1e-05
fine_tuning,11,0.6401880957020051,0.8365953573054165,0.8196895132299329,0.7855191256830601,1e-05
fine_tuning,12,0.620975675029976,0.8507055075102412,0.8196339724493809,0.7937158469945356,1e-05
fine_tuning,13,0.5984043030506597,0.8588984979517524,0.817009949293293,0.796448087431694,1e-05
fine_tuning,14,0.5950091388424147,0.8579881656804734,0.8234200682796415,0.7868852459016393,1e-05
fine_tuning,15,0.5888159304626649,0.8588984979517524,0.8220360728560901,0.7882513661202186,1e-05
fine_tuning,16,0.5873134452535935,0.8570778334091943,0.8149324127885161,0.7896174863387978,1e-05
fine_tuning,17,0.5632319543976972,0.867546654528903,0.8330329031240745,0.7909836065573771,1e-05
fine_tuning,18,0.5766928141964638,0.865725989986345,0.8213790215429713,0.796448087431694,1e-05
fine_tuning,19,0.5542387799425563,0.8739189804278562,0.8136247914345538,0.7950819672131147,1e-05
fine_tuning,20,0.5423201880891267,0.8716431497496586,0.8258390827257125,0.7827868852459017,1e-05
fine_tuning,21,0.5240773809569285,0.8775603095129723,0.8298390165704196,0.7855191256830601,1e-05
fine_tuning,22,0.5154653627545822,0.888029130632681,0.8274803972635113,0.8046448087431693,1e-05
fine_tuning,23,0.5103122858389106,0.8816568047337278,0.8383458246950244,0.7923497267759563,2.0000000000000003e-06
fine_tuning,24,0.49055750249568364,0.8893946290395994,0.8343433561872263,0.7896174863387978,2.0000000000000003e-06
fine_tuning,25,0.5005759014885807,0.8852981338188439,0.8417688823137127,0.7950819672131147,2.0000000000000003e-06
