,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,4,0,0
Retinopatia leve,5,44,23,1,1
Retinopatia moderada,4,17,164,14,1
Retinopatia severa,0,0,14,20,5
Retinopatia proliferativa,0,6,26,7,20
