,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,344,8,8,1,0
Retinopatia leve,6,54,7,3,4
Retinopatia moderada,12,51,48,55,34
Retinopatia severa,1,2,4,23,9
Retinopatia proliferativa,0,16,8,8,27
