,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,315,23,3,7,13
Retinopatia leve,6,51,2,6,9
Retinopatia moderada,14,50,25,57,54
Retinopatia severa,1,1,1,21,15
Retinopatia proliferativa,2,12,2,20,23
