accuracy,loss,val_accuracy,val_loss,learning_rate
0.2840236723423004,1.797171950340271,0.29371583461761475,1.5625553131103516,9.999999747378752e-05
0.341829776763916,1.6682651042938232,0.4057376980781555,1.442569375038147,9.999999747378752e-05
0.4264906644821167,1.5845826864242554,0.4453551769256592,1.43960702419281,9.999999747378752e-05
0.47200727462768555,1.5388357639312744,0.5040983557701111,1.3391681909561157,9.999999747378752e-05
0.5120618939399719,1.4667372703552246,0.5204917788505554,1.2878564596176147,9.999999747378752e-05
0.5293582081794739,1.3892500400543213,0.5355191230773926,1.209813117980957,9.999999747378752e-05
0.5512061715126038,1.3447798490524292,0.5191256999969482,1.249484658241272,9.999999747378752e-05
0.5593991875648499,1.3363754749298096,0.556010901927948,1.156753659248352,9.999999747378752e-05
0.5657715201377869,1.31316339969635,0.5765027403831482,1.0850661993026733,9.999999747378752e-05
0.5803368091583252,1.3147873878479004,0.562841534614563,1.083586573600769,9.999999747378752e-05
