accuracy,loss,val_accuracy,val_loss,learning_rate
0.27537551522254944,1.805019497871399,0.28278687596321106,1.571035385131836,9.999999747378752e-05
0.3472917675971985,1.6757190227508545,0.4057376980781555,1.4392762184143066,9.999999747378752e-05
0.41920801997184753,1.5859757661819458,0.45628416538238525,1.4192755222320557,9.999999747378752e-05
0.4647246301174164,1.538731575012207,0.4972677528858185,1.3431520462036133,9.999999747378752e-05
0.4938552677631378,1.485794186592102,0.5136612057685852,1.2989816665649414,9.999999747378752e-05
0.5188893675804138,1.3837978839874268,0.5300546288490295,1.2067755460739136,9.999999747378752e-05
0.5430132150650024,1.3511415719985962,0.5341529846191406,1.2274619340896606,9.999999747378752e-05
0.543923556804657,1.3539987802505493,0.561475396156311,1.1403824090957642,9.999999747378752e-05
0.5716886520385742,1.3067519664764404,0.5792349576950073,1.0836479663848877,9.999999747378752e-05
0.5807920098304749,1.3229529857635498,0.5696721076965332,1.0860527753829956,9.999999747378752e-05
