,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,314,24,3,3,17
Retinopatia leve,6,49,4,2,13
Retinopatia moderada,15,47,27,37,74
Retinopatia severa,1,1,2,14,21
Retinopatia proliferativa,2,12,2,12,31
