,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,8,2,0,1
Retinopatia leve,6,47,17,1,3
Retinopatia moderada,7,16,147,22,8
Retinopatia severa,1,0,10,24,4
Retinopatia proliferativa,0,6,18,4,31
