,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,4,0,0
Retinopatia leve,5,40,26,1,2
Retinopatia moderada,7,15,158,10,10
Retinopatia severa,0,0,14,20,5
Retinopatia proliferativa,0,2,22,4,31
