phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.345200826484722,0.5848884842967683,1.2303852800463067,0.7199453551912568,0.001
head,2,1.124194863713976,0.6818388711879836,1.0339452907687328,0.7431693989071039,0.001
head,3,1.039511488169825,0.7123350022758307,0.9652856451566102,0.7595628415300546,0.001
head,4,1.016836643110474,0.7141556668183887,1.0210771072106284,0.7418032786885246,0.001
head,5,0.9626599182364177,0.727810650887574,0.9246911611713347,0.7650273224043715,0.001
head,6,0.9483832194689029,0.7246244879380974,0.9402656652888314,0.7704918032786885,0.001
head,7,0.9322113249049059,0.7441966317705963,0.8999428104181759,0.7663934426229508,0.001
head,8,0.9167280107071902,0.7364588074647246,0.9178991024611426,0.76775956284153,0.001
head,9,0.9372332838919687,0.7314519799726901,0.9067653984319969,0.7650273224043715,0.001
head,10,0.9239400496090007,0.7309968138370505,0.9289928283847746,0.7609289617486339,0.001
fine_tuning,1,0.9084676230121972,0.7273554847519345,0.875022286274394,0.7868852459016393,1e-05
fine_tuning,2,0.8673757777520077,0.758306781975421,0.8585850508486639,0.7841530054644809,1e-05
fine_tuning,3,0.8467032936794626,0.7715065999089668,0.850197584902654,0.7896174863387978,1e-05
fine_tuning,4,0.8355246644753677,0.7724169321802458,0.8391661956662038,0.7937158469945356,1e-05
fine_tuning,5,0.8264864081950094,0.7787892580791989,0.8413650246917225,0.7950819672131147,1e-05
fine_tuning,6,0.8135493100639034,0.7897132453345471,0.8247528799244614,0.796448087431694,1e-05
fine_tuning,7,0.7908567797611342,0.7951752389622212,0.8189390135593102,0.7896174863387978,1e-05
fine_tuning,8,0.7860293695207178,0.7915339098771051,0.8117509757886168,0.7978142076502732,1e-05
fine_tuning,9,0.7656714095274969,0.7979062357760582,0.8105994394568147,0.7978142076502732,1e-05
fine_tuning,10,0.7506480637495225,0.8020027309968139,0.8105726730628092,0.8005464480874317,1e-05
fine_tuning,11,0.7450202965551905,0.7979062357760582,0.8092332482337952,0.7978142076502732,1e-05
fine_tuning,12,0.7763282304793312,0.7897132453345471,0.8110376655078325,0.796448087431694,1e-05
fine_tuning,13,0.7514114862525794,0.7960855712335002,0.8065929979574485,0.8019125683060109,1e-05
fine_tuning,14,0.7332807214465205,0.8079198907601275,0.7918327050130876,0.7991803278688525,1e-05
fine_tuning,15,0.7188234850933837,0.8088302230314065,0.7909357752956327,0.8019125683060109,1e-05
fine_tuning,16,0.7281891130077117,0.81474738279472,0.7908794850599571,0.8019125683060109,1e-05
fine_tuning,17,0.7133515352382408,0.8124715521165226,0.7979264816299814,0.8046448087431693,1e-05
fine_tuning,18,0.7153806806858638,0.8060992262175695,0.7976778325487356,0.8046448087431693,1e-05
fine_tuning,19,0.7062515517663673,0.8106508875739645,0.7903834708401414,0.8032786885245902,1e-05
fine_tuning,20,0.6961558698034308,0.8170232134729176,0.7925683044996418,0.8087431693989071,1e-05
fine_tuning,21,0.6925982855969144,0.8165680473372781,0.7986914837946657,0.8101092896174863,1e-05
fine_tuning,22,0.6912146967326612,0.8179335457441966,0.8086651221650546,0.8183060109289617,1e-05
fine_tuning,23,0.6838799423665745,0.834319526627219,0.799705400818684,0.8128415300546448,2.0000000000000003e-06
fine_tuning,24,0.6751788575159836,0.8279472007282658,0.7912370953403536,0.8114754098360656,2.0000000000000003e-06
fine_tuning,25,0.6803752836933665,0.8261265361857077,0.7911890471567873,0.8155737704918032,2.0000000000000003e-06
