,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,0,0,4
Retinopatia leve,21,40,8,3,2
Retinopatia moderada,38,48,44,35,35
Retinopatia severa,1,2,7,17,12
Retinopatia proliferativa,4,17,10,8,20
