accuracy,loss,val_accuracy,val_loss,learning_rate
0.3768775463104248,1.741837978363037,0.5382513403892517,1.1731938123703003,9.999999747378752e-05
0.4961310923099518,1.5248064994812012,0.562841534614563,1.0671120882034302,9.999999747378752e-05
0.5493855476379395,1.4034876823425293,0.5587431788444519,1.1018847227096558,9.999999747378752e-05
0.5716886520385742,1.3232512474060059,0.5751366019248962,1.0110608339309692,9.999999747378752e-05
0.6062812805175781,1.2471511363983154,0.5969945192337036,0.9532798528671265,9.999999747378752e-05
0.6181156039237976,1.218283772468567,0.5887978076934814,0.9373252987861633,9.999999747378752e-05
0.6049157977104187,1.2445787191390991,0.5901639461517334,0.9433472752571106,9.999999747378752e-05
0.6308602690696716,1.1421021223068237,0.6079235076904297,0.8970698714256287,9.999999747378752e-05
0.6440600752830505,1.134100079536438,0.6502732038497925,0.8355430364608765,9.999999747378752e-05
0.6404187679290771,1.0982301235198975,0.6379781365394592,0.841805100440979,9.999999747378752e-05
