accuracy,loss,val_accuracy,val_loss,learning_rate,stage,epoch_in_stage,global_epoch
0.44560763239860535,1.5823711156845093,0.5792349576950073,1.0541108846664429,0.0010000000474974513,head,1,1
0.5976331233978271,1.2596938610076904,0.561475396156311,1.0710123777389526,0.0010000000474974513,head,2,2
0.6395084261894226,1.1398019790649414,0.6420764923095703,0.8655152320861816,0.0010000000474974513,head,3,3
0.6531634330749512,1.0974693298339844,0.6557376980781555,0.8583338260650635,0.0010000000474974513,head,4,4
0.6832043528556824,1.043716549873352,0.5382513403892517,1.0933470726013184,0.0010000000474974513,head,5,5
0.6822940111160278,1.0160073041915894,0.6215847134590149,0.9266400933265686,0.0010000000474974513,head,6,6
0.6768320202827454,0.9799677729606628,0.6830601096153259,0.8067525029182434,0.0010000000474974513,head,7,7
0.6863905191421509,0.985188901424408,0.6707650423049927,0.7820992469787598,0.0010000000474974513,head,8,8
0.707328200340271,0.9450942277908325,0.618852436542511,0.9760412573814392,0.0010000000474974513,head,9,9
0.7141556739807129,0.9530612230300903,0.7377049326896667,0.7565922737121582,0.0010000000474974513,head,10,10
0.7269003391265869,0.9246867299079895,0.7158470153808594,0.7338886260986328,9.999999747378752e-06,fine_tuning,1,11
0.7355484962463379,0.8970087766647339,0.6994535326957703,0.74787837266922,9.999999747378752e-06,fine_tuning,2,12
0.7373691201210022,0.8827643990516663,0.7049180269241333,0.737837016582489,9.999999747378752e-06,fine_tuning,3,13
0.7364587783813477,0.829541027545929,0.7117486596107483,0.7360202074050903,9.999999747378752e-06,fine_tuning,4,14
0.7287209630012512,0.8552197813987732,0.7131147384643555,0.7305070161819458,1.9999999949504854e-06,fine_tuning,5,15
0.7432863116264343,0.8406738638877869,0.7062841653823853,0.7351528406143188,1.9999999949504854e-06,fine_tuning,6,16
0.7446517944335938,0.836769700050354,0.7144808769226074,0.7280511856079102,1.9999999949504854e-06,fine_tuning,7,17
0.7391898036003113,0.8588582873344421,0.7131147384643555,0.7309548854827881,1.9999999949504854e-06,fine_tuning,8,18
0.7546654343605042,0.8502908945083618,0.7103825211524963,0.7317753434181213,1.9999999949504854e-06,fine_tuning,9,19
0.7441966533660889,0.8291476368904114,0.7103825211524963,0.7281370162963867,1.9999999949504854e-06,fine_tuning,10,20
0.7451069355010986,0.8512370586395264,0.7117486596107483,0.728346586227417,4.0000000467443897e-07,fine_tuning,11,21
0.7423759698867798,0.8425316214561462,0.7117486596107483,0.7278565764427185,4.0000000467443897e-07,fine_tuning,12,22
0.7432863116264343,0.8709046244621277,0.7103825211524963,0.7284978628158569,4.0000000467443897e-07,fine_tuning,13,23
0.7464724779129028,0.8605666160583496,0.7076502442359924,0.7305180430412292,4.0000000467443897e-07,fine_tuning,14,24
0.7441966533660889,0.8407763242721558,0.7117486596107483,0.7311263680458069,4.0000000467443897e-07,fine_tuning,15,25
0.7410104870796204,0.8561001420021057,0.7117486596107483,0.7313079833984375,1.0000000116860974e-07,fine_tuning,16,26
0.7287209630012512,0.8635506629943848,0.7117486596107483,0.7314795255661011,1.0000000116860974e-07,fine_tuning,17,27
