,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,342,13,5,0,1
Retinopatia leve,6,52,6,0,10
Retinopatia moderada,11,42,91,7,49
Retinopatia severa,0,3,8,14,14
Retinopatia proliferativa,0,11,7,2,39
