,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,344,13,4,0,0
Retinopatia leve,3,47,23,1,0
Retinopatia moderada,8,20,144,15,13
Retinopatia severa,0,0,12,15,12
Retinopatia proliferativa,0,11,21,5,22
