phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.210350477321071,0.6722803823395539,1.055137909826685,0.7226775956284153,0.001
head,2,1.0015189399706217,0.7328174783796085,0.9843289344037165,0.73224043715847,0.001
head,3,0.9355201937688933,0.7482931269913519,0.9610592517696444,0.7513661202185792,0.001
head,4,0.9036240390771945,0.7596722803823396,0.9286914497125344,0.7663934426229508,0.001
head,5,0.8750639749105051,0.7655894401456531,0.93041401417529,0.726775956284153,0.001
head,6,0.8510373511746302,0.7628584433318161,0.9218387603759766,0.7568306010928961,0.001
head,7,0.8385385307443104,0.7728720983158853,0.9134454531747787,0.7527322404371585,0.001
head,8,0.8402315273467226,0.7760582612653618,0.891496799031242,0.773224043715847,0.001
head,9,0.8176742238948493,0.780609922621757,0.8893557904196567,0.7773224043715847,0.001
head,10,0.8070845071651961,0.7897132453345471,0.8902161238623447,0.773224043715847,0.001
fine_tuning,1,0.7750166934297256,0.8088302230314065,0.8796908933608258,0.7786885245901639,1e-05
fine_tuning,2,0.7644933526712382,0.8042785616750113,0.8640370720722637,0.7786885245901639,1e-05
fine_tuning,3,0.7501364789553865,0.8097405553026855,0.8610304848092502,0.7786885245901639,1e-05
fine_tuning,4,0.7516081739025438,0.8024578971324533,0.8526891821720561,0.7773224043715847,1e-05
fine_tuning,5,0.7207693665148076,0.8161128812016386,0.8507092780754214,0.7786885245901639,1e-05
fine_tuning,6,0.688113378512626,0.8233955393718707,0.8388344694356449,0.7800546448087432,1e-05
fine_tuning,7,0.6912349115244952,0.8220300409649522,0.8571031015427386,0.7855191256830601,1e-05
fine_tuning,8,0.6631680310559261,0.8375056895766955,0.832191315830731,0.7882513661202186,1e-05
fine_tuning,9,0.682778766847601,0.8220300409649522,0.8275609377954827,0.7841530054644809,1e-05
fine_tuning,10,0.673810086849336,0.8243058716431497,0.8282150538241277,0.7868852459016393,1e-05
fine_tuning,11,0.6474081687510529,0.8466090122894857,0.815505253486946,0.7841530054644809,1e-05
fine_tuning,12,0.64751749910655,0.8311333636777424,0.8161219759065597,0.7855191256830601,1e-05
fine_tuning,13,0.630745116924773,0.8461538461538461,0.8186343693342365,0.796448087431694,1e-05
fine_tuning,14,0.6380101527525286,0.8375056895766955,0.8080617834310062,0.8032786885245902,1e-05
fine_tuning,15,0.6360177237660873,0.8493400091033227,0.8269462429109167,0.7991803278688525,1e-05
fine_tuning,16,0.6104469095841287,0.8484296768320437,0.8164333486166157,0.8032786885245902,1e-05
fine_tuning,17,0.6139536027643536,0.8461538461538461,0.8227664427679093,0.8019125683060109,1e-05
fine_tuning,18,0.5972134938118508,0.8593536640873919,0.8285860204305805,0.7896174863387978,2.0000000000000003e-06
fine_tuning,19,0.5631737409530035,0.8620846609012289,0.8141229768268398,0.8032786885245902,2.0000000000000003e-06
fine_tuning,20,0.5849146228190384,0.8534365043240782,0.816927860994808,0.7991803278688525,2.0000000000000003e-06
