,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,0,0,4
Retinopatia leve,22,40,6,3,3
Retinopatia moderada,38,48,45,33,36
Retinopatia severa,2,2,7,16,12
Retinopatia proliferativa,4,18,9,7,21
