accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,phase
0.5234410762786865,1.456800103187561,0.6106557250022888,0.9328894019126892,0.0010000000474974513,1,head
0.647246241569519,1.1150931119918823,0.6379781365394592,0.884884774684906,0.0010000000474974513,2,head
0.6813837289810181,1.0489767789840698,0.6775956153869629,0.8059852719306946,0.0010000000474974513,3,head
0.7196176648139954,0.9570703506469727,0.6844262480735779,0.836112380027771,0.0010000000474974513,4,head
0.7141556739807129,0.9275434017181396,0.7199453711509705,0.7367087602615356,0.0010000000474974513,5,head
0.7209831476211548,0.9360180497169495,0.7308743000030518,0.7116969227790833,0.0010000000474974513,6,head
0.7373691201210022,0.8852002024650574,0.6297814249992371,1.0151054859161377,0.0010000000474974513,7,head
0.7355484962463379,0.8403238654136658,0.7636612057685852,0.658333420753479,0.0010000000474974513,8,head
0.7510241270065308,0.8210745453834534,0.7431694269180298,0.6746578812599182,0.0010000000474974513,9,head
0.7528448104858398,0.8123040199279785,0.6352459192276001,0.9299063682556152,0.0010000000474974513,10,head
0.7687755823135376,0.7786614298820496,0.7404371500015259,0.6908460855484009,9.999999747378752e-06,1,fine_tuning
0.7819754481315613,0.718676745891571,0.744535505771637,0.6753765344619751,9.999999747378752e-06,2,fine_tuning
0.7847064137458801,0.6970819234848022,0.7786885499954224,0.6429336667060852,9.999999747378752e-06,3,fine_tuning
0.808830201625824,0.6191713213920593,0.7459016442298889,0.7002068758010864,9.999999747378752e-06,4,fine_tuning
0.8315885066986084,0.5705193281173706,0.7677595615386963,0.6381533741950989,9.999999747378752e-06,5,fine_tuning
0.834319531917572,0.5477879047393799,0.7609289884567261,0.6733385920524597,9.999999747378752e-06,6,fine_tuning
0.8502503633499146,0.5060602426528931,0.7827869057655334,0.6934338808059692,9.999999747378752e-06,7,fine_tuning
0.8529813289642334,0.45784637331962585,0.7827869057655334,0.6949512362480164,9.999999747378752e-06,8,fine_tuning
0.8852981328964233,0.38262149691581726,0.7868852615356445,0.7461187839508057,1.9999999949504854e-06,9,fine_tuning
0.8843877911567688,0.36717379093170166,0.7923497557640076,0.7610682249069214,1.9999999949504854e-06,10,fine_tuning
