,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,343,12,6,0,0
Retinopatia leve,5,44,23,1,1
Retinopatia moderada,9,19,130,15,27
Retinopatia severa,1,1,10,14,13
Retinopatia proliferativa,0,9,19,4,27
