phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.210350477321071,0.6722803823395539,1.055137909826685,0.7226775956284153,0.001
head,2,1.0015189399706217,0.7328174783796085,0.9843289344037165,0.73224043715847,0.001
head,3,0.9355201937688933,0.7482931269913519,0.9610592517696444,0.7513661202185792,0.001
head,4,0.9036240390771945,0.7596722803823396,0.9286914497125344,0.7663934426229508,0.001
head,5,0.8750639749105051,0.7655894401456531,0.93041401417529,0.726775956284153,0.001
head,6,0.8510373511746302,0.7628584433318161,0.9218387603759766,0.7568306010928961,0.001
head,7,0.8385385307443104,0.7728720983158853,0.9134454531747787,0.7527322404371585,0.001
head,8,0.8402315273467226,0.7760582612653618,0.891496799031242,0.773224043715847,0.001
head,9,0.8176742238948493,0.780609922621757,0.8893557904196567,0.7773224043715847,0.001
head,10,0.8070845071651961,0.7897132453345471,0.8902161238623447,0.773224043715847,0.001
fine_tuning,1,0.7790973096963868,0.8024578971324533,0.8889578854451414,0.7786885245901639,1e-05
fine_tuning,2,0.781368517094327,0.7983614019116978,0.8791208970742147,0.7759562841530054,1e-05
fine_tuning,3,0.7728027800945027,0.8015475648611743,0.8802497504187412,0.7786885245901639,1e-05
fine_tuning,4,0.7828891663915958,0.7938097405553027,0.8738165859316216,0.7786885245901639,1e-05
fine_tuning,5,0.7608796333148906,0.8033682294037323,0.8725980774300998,0.7759562841530054,1e-05
fine_tuning,6,0.7376977674625763,0.8051888939462903,0.8640644198558369,0.7745901639344263,1e-05
fine_tuning,7,0.7420261729615463,0.8020027309968139,0.8785608674659103,0.7704918032786885,1e-05
fine_tuning,8,0.7229134656919585,0.8152025489303596,0.8621335948099855,0.7800546448087432,1e-05
fine_tuning,9,0.74845936366738,0.7992717341829768,0.8563446334150971,0.7814207650273224,1e-05
fine_tuning,10,0.7366042377246637,0.809285389167046,0.8594821847853114,0.7759562841530054,1e-05
fine_tuning,11,0.7222386439062543,0.8192990441511152,0.8493856885394112,0.7786885245901639,1e-05
fine_tuning,12,0.7265619054728332,0.8015475648611743,0.8483362021993418,0.7814207650273224,1e-05
fine_tuning,13,0.7154423798221211,0.813837050523441,0.8523048113604061,0.7800546448087432,1e-05
fine_tuning,14,0.7220849342979948,0.815657715065999,0.8415215855739155,0.7786885245901639,1e-05
fine_tuning,15,0.7296585520126627,0.8206645425580337,0.8607513513721403,0.7773224043715847,1e-05
fine_tuning,16,0.7076213418026648,0.8179335457441966,0.8449666646660351,0.7896174863387978,1e-05
fine_tuning,17,0.7205486669017338,0.8083750568957669,0.8524476563344237,0.7827868852459017,1e-05
fine_tuning,18,0.7059062061713509,0.8206645425580337,0.8531843873321033,0.7814207650273224,2.0000000000000003e-06
fine_tuning,19,0.6747969808934438,0.8279472007282658,0.8416082067567794,0.7868852459016393,2.0000000000000003e-06
fine_tuning,20,0.6971286903688676,0.8188438780154756,0.8454241127264305,0.7841530054644809,2.0000000000000003e-06
