,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,8,2,0,1
Retinopatia leve,4,49,18,1,2
Retinopatia moderada,7,16,145,26,6
Retinopatia severa,0,0,8,27,4
Retinopatia proliferativa,0,9,13,6,31
