phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.3259802996216983,0.597177969959035,1.1565527696101392,0.6857923497267759,0.001
head,2,1.112181492702604,0.6759217114246701,1.0063169471553115,0.7540983606557377,0.001
head,3,1.0478509328123327,0.6954938552571689,0.9855704801004441,0.75,0.001
head,4,1.0501788540704715,0.6841147018661812,0.9852961751281238,0.7513661202185792,0.001
head,5,1.013534705911271,0.6959490213928083,0.9407047101708709,0.755464480874317,0.001
head,6,0.9653160458105935,0.7232589895311788,0.9629113918445149,0.76775956284153,0.001
head,7,0.9666936867986965,0.7086936731907146,0.96000259968101,0.7718579234972678,0.001
head,8,0.983628070810246,0.7105143377332727,0.9841397038248719,0.7650273224043715,0.001
head,9,0.9741304061279331,0.7187073281747838,0.9426714220985037,0.73224043715847,0.0002
head,10,0.8993459069083157,0.7360036413290851,0.9232799567160059,0.75,0.0002
fine_tuning,1,0.8805412531821468,0.7478379608557123,0.8364749858613874,0.7937158469945356,1e-05
fine_tuning,2,0.8279909017984575,0.7696859353664087,0.8015892261364421,0.8114754098360656,1e-05
fine_tuning,3,0.7882993719932649,0.7919890760127446,0.814111483390214,0.8060109289617486,1e-05
fine_tuning,4,0.7540666288715305,0.8001820664542558,0.8016335031048196,0.8210382513661202,1e-05
fine_tuning,5,0.7348958835528013,0.7992717341829768,0.8167123476989934,0.8237704918032787,1e-05
fine_tuning,6,0.6903308731455883,0.8243058716431497,0.80251160410584,0.8128415300546448,2.0000000000000003e-06
fine_tuning,7,0.6845151979813643,0.8229403732362313,0.7624643259361142,0.819672131147541,2.0000000000000003e-06
fine_tuning,8,0.6856389786093464,0.8174783796085571,0.8233232402899227,0.8210382513661202,2.0000000000000003e-06
fine_tuning,9,0.6593778904969985,0.8365953573054165,0.7748085372760648,0.8265027322404371,2.0000000000000003e-06
fine_tuning,10,0.6567229962533422,0.8338643604915794,0.7955141468126266,0.8224043715846995,2.0000000000000003e-06
fine_tuning,11,0.6344211279776186,0.837960855712335,0.8073223194137948,0.819672131147541,4.000000000000001e-07
fine_tuning,12,0.6646183325477117,0.8302230314064634,0.7845051713654252,0.8114754098360656,4.000000000000001e-07
fine_tuning,13,0.6507200220795616,0.8338643604915794,0.830946834360967,0.8183060109289617,4.000000000000001e-07
