,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,3,0,1
Retinopatia leve,6,45,20,2,1
Retinopatia moderada,5,23,147,20,5
Retinopatia severa,0,0,8,26,5
Retinopatia proliferativa,0,6,22,6,25
