,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,3,0,1
Retinopatia leve,5,47,19,2,1
Retinopatia moderada,4,22,152,16,6
Retinopatia severa,0,0,9,25,5
Retinopatia proliferativa,0,8,19,6,26
