,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,3,0,1
Retinopatia leve,4,52,12,2,4
Retinopatia moderada,6,25,122,38,9
Retinopatia severa,0,1,6,29,3
Retinopatia proliferativa,0,9,11,10,29
