,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,8,2,0,1
Retinopatia leve,5,55,11,1,2
Retinopatia moderada,9,26,135,24,6
Retinopatia severa,0,1,8,24,6
Retinopatia proliferativa,0,7,18,4,30
