,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,345,13,2,0,1
Retinopatia leve,5,58,8,2,1
Retinopatia moderada,5,33,95,48,19
Retinopatia severa,0,1,4,29,5
Retinopatia proliferativa,0,12,8,11,28
