,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,342,17,2,0,0
Retinopatia leve,5,56,8,0,5
Retinopatia moderada,10,47,92,6,45
Retinopatia severa,0,2,4,17,16
Retinopatia proliferativa,0,10,11,2,36
