,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,8,2,0,1
Retinopatia leve,3,40,29,0,2
Retinopatia moderada,8,10,163,12,7
Retinopatia severa,0,0,12,20,7
Retinopatia proliferativa,0,1,21,4,33
