,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,9,2,0,1
Retinopatia leve,4,43,23,1,3
Retinopatia moderada,7,14,158,12,9
Retinopatia severa,0,1,9,24,5
Retinopatia proliferativa,0,4,17,5,33
