,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,342,9,7,0,3
Retinopatia leve,6,45,21,0,2
Retinopatia moderada,7,18,141,21,13
Retinopatia severa,1,0,9,19,10
Retinopatia proliferativa,0,6,19,8,26
