,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,9,2,0,1
Retinopatia leve,4,44,22,1,3
Retinopatia moderada,7,14,158,12,9
Retinopatia severa,0,0,10,24,5
Retinopatia proliferativa,0,4,17,4,34
