,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,7,3,0,1
Retinopatia leve,4,36,32,1,1
Retinopatia moderada,8,11,168,12,1
Retinopatia severa,0,0,12,23,4
Retinopatia proliferativa,0,2,21,6,30
