,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,4,0,0
Retinopatia leve,5,44,23,0,2
Retinopatia moderada,8,16,156,12,8
Retinopatia severa,0,1,13,22,3
Retinopatia proliferativa,0,7,18,4,30
