,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,4,0,0
Retinopatia leve,4,45,21,2,2
Retinopatia moderada,5,23,145,20,7
Retinopatia severa,0,0,10,24,5
Retinopatia proliferativa,0,8,17,8,26
