,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,342,11,5,2,1
Retinopatia leve,7,49,15,3,0
Retinopatia moderada,13,23,118,23,23
Retinopatia severa,0,0,13,18,8
Retinopatia proliferativa,0,11,17,7,24
