,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,341,15,5,0,0
Retinopatia leve,5,47,16,3,3
Retinopatia moderada,10,25,95,28,42
Retinopatia severa,1,1,6,20,11
Retinopatia proliferativa,0,12,6,6,35
