phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.210350477321071,0.6722803823395539,1.055137909826685,0.7226775956284153,0.001
head,2,1.0015189399706217,0.7328174783796085,0.9843289344037165,0.73224043715847,0.001
head,3,0.9355201937688933,0.7482931269913519,0.9610592517696444,0.7513661202185792,0.001
head,4,0.9036240390771945,0.7596722803823396,0.9286914497125344,0.7663934426229508,0.001
head,5,0.8750639749105051,0.7655894401456531,0.93041401417529,0.726775956284153,0.001
head,6,0.8510373511746302,0.7628584433318161,0.9218387603759766,0.7568306010928961,0.001
head,7,0.8385385307443104,0.7728720983158853,0.9134454531747787,0.7527322404371585,0.001
head,8,0.8402315273467226,0.7760582612653618,0.891496799031242,0.773224043715847,0.001
head,9,0.8176742238948493,0.780609922621757,0.8893557904196567,0.7773224043715847,0.001
head,10,0.8070845071651961,0.7897132453345471,0.8902161238623447,0.773224043715847,0.001
fine_tuning,1,0.7723237083996758,0.8088302230314065,0.8729591408713919,0.7800546448087432,1e-05
fine_tuning,2,0.7541475611813893,0.8115612198452435,0.8548791916643987,0.7814207650273224,1e-05
fine_tuning,3,0.7374305596501382,0.809285389167046,0.849183379626665,0.7827868852459017,1e-05
fine_tuning,4,0.7331704785186809,0.809285389167046,0.8404130974753958,0.7827868852459017,1e-05
fine_tuning,5,0.6991118468313691,0.8211197086936732,0.8378224900511445,0.7882513661202186,1e-05
fine_tuning,6,0.6640117503482209,0.8315885298133819,0.8236679864711449,0.7896174863387978,1e-05
fine_tuning,7,0.6644906112292598,0.8338643604915794,0.8425573276691749,0.7950819672131147,1e-05
fine_tuning,8,0.632784217406144,0.8479745106964042,0.8142629812975399,0.796448087431694,1e-05
fine_tuning,9,0.6479453235851075,0.8306781975421028,0.8113243413753197,0.7978142076502732,1e-05
fine_tuning,10,0.6357447509880656,0.836140191169777,0.8088349240725158,0.7991803278688525,1e-05
fine_tuning,11,0.6087871745981626,0.8534365043240782,0.7951972875438753,0.8046448087431693,1e-05
fine_tuning,12,0.6087290764560361,0.8429676832043695,0.7948929589302813,0.8019125683060109,1e-05
fine_tuning,13,0.5883400880129271,0.8575329995448339,0.7992235803213276,0.8101092896174863,1e-05
fine_tuning,14,0.592739718281577,0.8552571688666363,0.7886750326781976,0.8142076502732241,1e-05
fine_tuning,15,0.5889000222256469,0.866636322257624,0.8087382140706797,0.8114754098360656,1e-05
fine_tuning,16,0.5599874697208513,0.8680018206645426,0.7985847465327529,0.8142076502732241,1e-05
fine_tuning,17,0.561505613703591,0.8643604915794265,0.8046387297208192,0.8183060109289617,1e-05
fine_tuning,18,0.5429471390839864,0.8757396449704142,0.8113556093856936,0.8060109289617486,2.0000000000000003e-06
fine_tuning,19,0.5126826636727202,0.8816568047337278,0.7976994602406611,0.8210382513661202,2.0000000000000003e-06
fine_tuning,20,0.5221983946123935,0.8780154756486117,0.8010091195341016,0.8128415300546448,2.0000000000000003e-06
