,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,347,9,5,0,0
Retinopatia leve,6,50,12,1,5
Retinopatia moderada,7,20,125,17,31
Retinopatia severa,0,0,9,17,13
Retinopatia proliferativa,0,5,16,5,33
