,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,8,2,0,1
Retinopatia leve,5,50,15,1,3
Retinopatia moderada,7,16,156,12,9
Retinopatia severa,0,1,11,22,5
Retinopatia proliferativa,0,6,19,3,31
