,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,6,6,0,0
Retinopatia leve,5,39,28,0,2
Retinopatia moderada,8,14,159,14,5
Retinopatia severa,0,0,16,20,3
Retinopatia proliferativa,0,2,26,4,27
