,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,8,3,0,1
Retinopatia leve,5,50,17,1,1
Retinopatia moderada,5,22,151,16,6
Retinopatia severa,0,0,9,25,5
Retinopatia proliferativa,0,7,20,7,25
