,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,7,3,0,1
Retinopatia leve,3,42,26,1,2
Retinopatia moderada,7,15,164,11,3
Retinopatia severa,0,1,10,23,5
Retinopatia proliferativa,0,2,24,3,30
