accuracy,loss,val_accuracy,val_loss,learning_rate,phase,phase_epoch,global_epoch
0.5425580143928528,1.354932427406311,0.6051912307739258,0.9515759348869324,0.0010000000474974513,head,1,1
0.6490669250488281,1.1237671375274658,0.6215847134590149,0.9224217534065247,0.0010000000474974513,head,2,2
0.6777423620223999,1.0238183736801147,0.6926229596138,0.8167499303817749,0.0010000000474974513,head,3,3
0.694583535194397,0.9801576137542725,0.6461748480796814,0.840291440486908,0.0010000000474974513,head,4,4
0.7141556739807129,0.9425497055053711,0.6434426307678223,0.8538873195648193,0.0010000000474974513,head,5,5
0.7255347967147827,0.9131495952606201,0.6994535326957703,0.7651211023330688,0.0010000000474974513,head,6,6
0.7214383482933044,0.9018555879592896,0.688524603843689,0.7740227580070496,0.0010000000474974513,head,7,7
0.7187073230743408,0.8910739421844482,0.6707650423049927,0.7953563928604126,0.0010000000474974513,head,8,8
0.7364587783813477,0.8510255217552185,0.6297814249992371,0.8781984448432922,0.0010000000474974513,head,9,9
0.7537550926208496,0.8040012121200562,0.7076502442359924,0.7533663511276245,0.00020000000949949026,head,10,10
0.7455621361732483,0.8223803043365479,0.6967213153839111,0.7544917464256287,9.999999747378752e-06,fine_tuning,1,11
0.7683204412460327,0.7968369722366333,0.688524603843689,0.7744242548942566,9.999999747378752e-06,fine_tuning,2,12
0.7669549584388733,0.7782052755355835,0.6844262480735779,0.7637170553207397,9.999999747378752e-06,fine_tuning,3,13
0.7664997577667236,0.7702388167381287,0.6898906826972961,0.7534012198448181,9.999999747378752e-06,fine_tuning,4,14
0.7774237394332886,0.7466367483139038,0.6775956153869629,0.7753618359565735,9.999999747378752e-06,fine_tuning,5,15
0.7664997577667236,0.7457566261291504,0.6926229596138,0.7528092265129089,9.999999747378752e-06,fine_tuning,6,16
0.7719617486000061,0.7527899742126465,0.7144808769226074,0.7191488742828369,9.999999747378752e-06,fine_tuning,7,17
0.7824305891990662,0.7372884750366211,0.6830601096153259,0.7689574360847473,9.999999747378752e-06,fine_tuning,8,18
0.7878925800323486,0.7196391820907593,0.6898906826972961,0.7575506567955017,9.999999747378752e-06,fine_tuning,9,19
0.7888029217720032,0.7168993353843689,0.687158465385437,0.767569899559021,9.999999747378752e-06,fine_tuning,10,20
0.7992717623710632,0.6831250786781311,0.6912568211555481,0.7547440528869629,1.9999999949504854e-06,fine_tuning,11,21
0.7865270972251892,0.6898829936981201,0.6994535326957703,0.7424609661102295,1.9999999949504854e-06,fine_tuning,12,22
