accuracy,loss,val_accuracy,val_loss,learning_rate,phase,phase_epoch,global_epoch
0.44833865761756897,1.5478655099868774,0.5956284403800964,1.0387405157089233,0.0010000000474974513,head,1,1
0.5976331233978271,1.244615077972412,0.5765027403831482,1.048257827758789,0.0010000000474974513,head,2,2
0.6436049342155457,1.1432112455368042,0.6407103538513184,0.8735502362251282,0.0010000000474974513,head,3,3
0.6404187679290771,1.1152794361114502,0.6680327653884888,0.840411901473999,0.0010000000474974513,head,4,4
0.668639063835144,1.0767956972122192,0.5696721076965332,1.0581929683685303,0.0010000000474974513,head,5,5
0.673190712928772,1.0309841632843018,0.6530054807662964,0.8318867683410645,0.0010000000474974513,head,6,6
0.6873008608818054,0.9879089593887329,0.6912568211555481,0.7843212485313416,0.0010000000474974513,head,7,7
0.6781975626945496,1.018929123878479,0.6379781365394592,0.8559421896934509,0.0010000000474974513,head,8,8
0.7082384824752808,0.951487123966217,0.5751366019248962,1.0466824769973755,0.0010000000474974513,head,9,9
0.690031886100769,0.9726682305335999,0.7459016442298889,0.7132420539855957,0.0010000000474974513,head,10,10
0.7269003391265869,0.8980870842933655,0.7076502442359924,0.7541213035583496,9.999999747378752e-06,fine_tuning,1,11
0.7232589721679688,0.8921483755111694,0.7103825211524963,0.7386704683303833,9.999999747378752e-06,fine_tuning,2,12
0.7369139790534973,0.8731069564819336,0.693989098072052,0.7493492364883423,9.999999747378752e-06,fine_tuning,3,13
0.7319071292877197,0.8702454566955566,0.7131147384643555,0.7220150232315063,9.999999747378752e-06,fine_tuning,4,14
0.7464724779129028,0.8578964471817017,0.7090163826942444,0.7317122220993042,9.999999747378752e-06,fine_tuning,5,15
0.7364587783813477,0.8578200936317444,0.7144808769226074,0.7122246623039246,9.999999747378752e-06,fine_tuning,6,16
0.7519344687461853,0.8271985054016113,0.7172130942344666,0.7188281416893005,9.999999747378752e-06,fine_tuning,7,17
0.7523896098136902,0.8343260884284973,0.6953551769256592,0.7456002235412598,9.999999747378752e-06,fine_tuning,8,18
0.7378243207931519,0.8061363697052002,0.7117486596107483,0.7258396744728088,9.999999747378752e-06,fine_tuning,9,19
0.7633135914802551,0.806259274482727,0.7172130942344666,0.7146198749542236,1.9999999949504854e-06,fine_tuning,10,20
0.7614929676055908,0.8100255131721497,0.7062841653823853,0.7205321788787842,1.9999999949504854e-06,fine_tuning,11,21
