,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,9,2,0,1
Retinopatia leve,4,48,20,1,1
Retinopatia moderada,7,17,157,15,4
Retinopatia severa,0,0,10,25,4
Retinopatia proliferativa,0,8,15,7,29
