,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,351,7,2,0,1
Retinopatia leve,5,41,24,1,3
Retinopatia moderada,7,14,158,13,8
Retinopatia severa,0,1,11,22,5
Retinopatia proliferativa,0,5,18,4,32
