,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,349,4,8,0,0
Retinopatia leve,6,32,35,0,1
Retinopatia moderada,8,10,162,9,11
Retinopatia severa,0,0,17,18,4
Retinopatia proliferativa,0,0,28,3,28
