,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,8,2,0,1
Retinopatia leve,5,49,17,3,0
Retinopatia moderada,6,16,156,14,8
Retinopatia severa,0,1,10,19,9
Retinopatia proliferativa,0,7,21,4,27
