phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.458669482386541,0.4979517523896222,1.3711908905883956,0.6584699453551912,0.001
head,2,1.2279872034265609,0.6112881201638598,1.1324618038583973,0.7691256830601093,0.001
head,3,1.1552901909087645,0.6349567592171143,1.0831005429960991,0.662568306010929,0.001
head,4,1.1550267392198879,0.6367774237596723,1.0402279056486536,0.7254098360655737,0.001
head,5,1.0956410158206833,0.6604460628129267,1.0359560453175196,0.7295081967213115,0.001
head,6,1.0480682887866055,0.6695493855257169,1.0066633055118914,0.7568306010928961,0.001
head,7,1.0406946437869986,0.6772872098315885,0.9893069983831521,0.6994535519125683,0.001
head,8,1.0196241274116578,0.6786527082385071,1.0072570264013738,0.7800546448087432,0.001
head,9,1.0279597676663057,0.6704597177969959,0.9676429013736912,0.7226775956284153,0.001
head,10,1.0440262080215572,0.6809285389167046,1.0877652884832496,0.7581967213114754,0.001
fine_tuning,1,0.9523180398986618,0.6818388711879836,0.9591444359451043,0.7595628415300546,1e-05
fine_tuning,2,0.9352291564155721,0.7114246700045517,0.9428820844556465,0.7650273224043715,1e-05
fine_tuning,3,0.9150529439524189,0.7200728265817024,0.9353917648232049,0.773224043715847,1e-05
fine_tuning,4,0.888393149600552,0.7346381429221666,0.924464586653996,0.7786885245901639,1e-05
fine_tuning,5,0.8662319712384918,0.7414656349567592,0.9195680859310379,0.7773224043715847,1e-05
fine_tuning,6,0.8368925366230211,0.7496586253982703,0.9214721155948327,0.7814207650273224,1e-05
fine_tuning,7,0.8332500312346787,0.7532999544833865,0.9093868869249938,0.7827868852459017,1e-05
fine_tuning,8,0.8444559232424648,0.7460172963131543,0.8934991529079083,0.7868852459016393,1e-05
fine_tuning,9,0.8405677654768154,0.7537551206190259,0.8939715897450682,0.7923497267759563,1e-05
fine_tuning,10,0.8130137734267731,0.7537551206190259,0.8930265134800979,0.7841530054644809,1e-05
fine_tuning,11,0.7935191128109605,0.7624032771961766,0.8966414088108501,0.7923497267759563,1e-05
fine_tuning,12,0.8229692508048994,0.7469276285844333,0.8874409902291219,0.7800546448087432,1e-05
fine_tuning,13,0.784481311880788,0.7633136094674556,0.8864533171627691,0.7855191256830601,1e-05
fine_tuning,14,0.7708631635092039,0.7674101046882112,0.8893233355277222,0.7855191256830601,1e-05
fine_tuning,15,0.7594231713018907,0.7851615839781521,0.8771254553820917,0.796448087431694,1e-05
fine_tuning,16,0.7589601148759229,0.7724169321802458,0.8842854330448505,0.8046448087431693,1e-05
fine_tuning,17,0.7414368204111178,0.7847064178425125,0.8914336070336931,0.7923497267759563,1e-05
fine_tuning,18,0.743261466798969,0.7783340919435594,0.8779172636772115,0.8060109289617486,1e-05
fine_tuning,19,0.7282488204481171,0.7897132453345471,0.8841155428704017,0.8005464480874317,2.0000000000000003e-06
fine_tuning,20,0.7349759798783523,0.7837960855712335,0.8996915628349846,0.7814207650273224,2.0000000000000003e-06
