,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,348,9,3,0,1
Retinopatia leve,7,51,13,0,3
Retinopatia moderada,10,34,107,23,26
Retinopatia severa,0,0,8,21,10
Retinopatia proliferativa,0,15,8,10,26
