,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,350,8,3,0,0
Retinopatia leve,5,52,14,1,2
Retinopatia moderada,8,21,147,21,3
Retinopatia severa,0,0,10,24,5
Retinopatia proliferativa,0,5,24,3,27
