phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
head,1,1.210350477321071,0.6722803823395539,1.055137909826685,0.7226775956284153,0.001
head,2,1.0015189399706217,0.7328174783796085,0.9843289344037165,0.73224043715847,0.001
head,3,0.9355201937688933,0.7482931269913519,0.9610592517696444,0.7513661202185792,0.001
head,4,0.9036240390771945,0.7596722803823396,0.9286914497125344,0.7663934426229508,0.001
head,5,0.8750639749105051,0.7655894401456531,0.93041401417529,0.726775956284153,0.001
head,6,0.8510373511746302,0.7628584433318161,0.9218387603759766,0.7568306010928961,0.001
head,7,0.8385385307443104,0.7728720983158853,0.9134454531747787,0.7527322404371585,0.001
head,8,0.8402315273467226,0.7760582612653618,0.891496799031242,0.773224043715847,0.001
head,9,0.8176742238948493,0.780609922621757,0.8893557904196567,0.7773224043715847,0.001
head,10,0.8070845071651961,0.7897132453345471,0.8902161238623447,0.773224043715847,0.001
fine_tuning,1,0.7737864149012889,0.8065543923532089,0.8771235981925589,0.7800546448087432,3e-06
fine_tuning,2,0.7609508163450412,0.8056440600819299,0.860606568758605,0.7786885245901639,3e-06
fine_tuning,3,0.7455801941016938,0.810195721438325,0.8566539482992204,0.7827868852459017,3e-06
fine_tuning,4,0.7451442922849139,0.8029130632680929,0.848075587241376,0.7786885245901639,3e-06
fine_tuning,5,0.7133014810915476,0.8183887118798362,0.8451834330793286,0.7800546448087432,3e-06
fine_tuning,6,0.6787767249668627,0.8284023668639053,0.8326807217519792,0.7827868852459017,3e-06
fine_tuning,7,0.6809335697033647,0.8274920345926263,0.8505278024517122,0.7909836065573771,3e-06
fine_tuning,8,0.6511622591891179,0.8411470186618115,0.8247439724500062,0.7896174863387978,3e-06
fine_tuning,9,0.6691760679890907,0.8252162039144287,0.8210435421740423,0.7868852459016393,3e-06
fine_tuning,10,0.6587842995327171,0.8284023668639053,0.8201469397935711,0.7923497267759563,3e-06
fine_tuning,11,0.6315611050407833,0.8479745106964042,0.8069422039829317,0.7950819672131147,3e-06
fine_tuning,12,0.6316770143437288,0.8347746927628584,0.8065986193594386,0.7937158469945356,3e-06
fine_tuning,13,0.6140871617975265,0.8516158397815202,0.8099831684691007,0.8005464480874317,3e-06
fine_tuning,14,0.6197696914985389,0.8447883477469277,0.8003232234814128,0.8046448087431693,3e-06
fine_tuning,15,0.6170304976759795,0.8552571688666363,0.8186681847103306,0.8019125683060109,3e-06
fine_tuning,16,0.5891527058620262,0.8561675011379153,0.8087859710708993,0.8060109289617486,3e-06
fine_tuning,17,0.5925837533279718,0.8525261720527992,0.8150731559659614,0.8073770491803278,3e-06
fine_tuning,18,0.5749065986290595,0.8652708238507055,0.821181269942737,0.7950819672131147,6.000000000000001e-07
fine_tuning,19,0.5412117021160882,0.8702776513427402,0.806745427553771,0.8060109289617486,6.000000000000001e-07
fine_tuning,20,0.557910958365196,0.863905325443787,0.809955599855204,0.8114754098360656,6.000000000000001e-07
