,Sem retinopatia,Retinopatia leve,Retinopatia moderada,Retinopatia severa,Retinopatia proliferativa
Sem retinopatia,344,13,4,0,0
Retinopatia leve,3,47,23,1,0
Retinopatia moderada,8,20,146,15,11
Retinopatia severa,0,0,13,15,11
Retinopatia proliferativa,0,10,21,4,24
