epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7687755823135376,9.999999747378752e-06,0.7786614298820496,0.7404371500015259,0.6908460855484009
1,0.7819754481315613,9.999999747378752e-06,0.718676745891571,0.744535505771637,0.6753765344619751
2,0.7847064137458801,9.999999747378752e-06,0.6970819234848022,0.7786885499954224,0.6429336667060852
3,0.808830201625824,9.999999747378752e-06,0.6191713213920593,0.7459016442298889,0.7002068758010864
4,0.8315885066986084,9.999999747378752e-06,0.5705193281173706,0.7677595615386963,0.6381533741950989
5,0.834319531917572,9.999999747378752e-06,0.5477879047393799,0.7609289884567261,0.6733385920524597
6,0.8502503633499146,9.999999747378752e-06,0.5060602426528931,0.7827869057655334,0.6934338808059692
7,0.8529813289642334,9.999999747378752e-06,0.45784637331962585,0.7827869057655334,0.6949512362480164
8,0.8852981328964233,1.9999999949504854e-06,0.38262149691581726,0.7868852615356445,0.7461187839508057
9,0.8843877911567688,1.9999999949504854e-06,0.36717379093170166,0.7923497557640076,0.7610682249069214
