epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7269003391265869,9.999999747378752e-06,0.9246867299079895,0.7158470153808594,0.7338886260986328
1,0.7355484962463379,9.999999747378752e-06,0.8970087766647339,0.6994535326957703,0.74787837266922
2,0.7373691201210022,9.999999747378752e-06,0.8827643990516663,0.7049180269241333,0.737837016582489
3,0.7364587783813477,9.999999747378752e-06,0.829541027545929,0.7117486596107483,0.7360202074050903
4,0.7287209630012512,1.9999999949504854e-06,0.8552197813987732,0.7131147384643555,0.7305070161819458
5,0.7432863116264343,1.9999999949504854e-06,0.8406738638877869,0.7062841653823853,0.7351528406143188
6,0.7446517944335938,1.9999999949504854e-06,0.836769700050354,0.7144808769226074,0.7280511856079102
7,0.7391898036003113,1.9999999949504854e-06,0.8588582873344421,0.7131147384643555,0.7309548854827881
8,0.7546654343605042,1.9999999949504854e-06,0.8502908945083618,0.7103825211524963,0.7317753434181213
9,0.7441966533660889,1.9999999949504854e-06,0.8291476368904114,0.7103825211524963,0.7281370162963867
10,0.7451069355010986,4.0000000467443897e-07,0.8512370586395264,0.7117486596107483,0.728346586227417
11,0.7423759698867798,4.0000000467443897e-07,0.8425316214561462,0.7117486596107483,0.7278565764427185
12,0.7432863116264343,4.0000000467443897e-07,0.8709046244621277,0.7103825211524963,0.7284978628158569
13,0.7464724779129028,4.0000000467443897e-07,0.8605666160583496,0.7076502442359924,0.7305180430412292
14,0.7441966533660889,4.0000000467443897e-07,0.8407763242721558,0.7117486596107483,0.7311263680458069
15,0.7410104870796204,1.0000000116860974e-07,0.8561001420021057,0.7117486596107483,0.7313079833984375
16,0.7287209630012512,1.0000000116860974e-07,0.8635506629943848,0.7117486596107483,0.7314795255661011
