epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5425580143928528,0.0010000000474974513,1.354932427406311,0.6051912307739258,0.9515759348869324
1,0.6490669250488281,0.0010000000474974513,1.1237671375274658,0.6215847134590149,0.9224217534065247
2,0.6777423620223999,0.0010000000474974513,1.0238183736801147,0.6926229596138,0.8167499303817749
3,0.694583535194397,0.0010000000474974513,0.9801576137542725,0.6461748480796814,0.840291440486908
4,0.7141556739807129,0.0010000000474974513,0.9425497055053711,0.6434426307678223,0.8538873195648193
5,0.7255347967147827,0.0010000000474974513,0.9131495952606201,0.6994535326957703,0.7651211023330688
6,0.7214383482933044,0.0010000000474974513,0.9018555879592896,0.688524603843689,0.7740227580070496
7,0.7187073230743408,0.0010000000474974513,0.8910739421844482,0.6707650423049927,0.7953563928604126
8,0.7364587783813477,0.0010000000474974513,0.8510255217552185,0.6297814249992371,0.8781984448432922
9,0.7537550926208496,0.00020000000949949026,0.8040012121200562,0.7076502442359924,0.7533663511276245
