epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7269003391265869,9.999999747378752e-06,0.8980870842933655,0.7076502442359924,0.7541213035583496
1,0.7232589721679688,9.999999747378752e-06,0.8921483755111694,0.7103825211524963,0.7386704683303833
2,0.7369139790534973,9.999999747378752e-06,0.8731069564819336,0.693989098072052,0.7493492364883423
3,0.7319071292877197,9.999999747378752e-06,0.8702454566955566,0.7131147384643555,0.7220150232315063
4,0.7464724779129028,9.999999747378752e-06,0.8578964471817017,0.7090163826942444,0.7317122220993042
5,0.7364587783813477,9.999999747378752e-06,0.8578200936317444,0.7144808769226074,0.7122246623039246
6,0.7519344687461853,9.999999747378752e-06,0.8271985054016113,0.7172130942344666,0.7188281416893005
7,0.7523896098136902,9.999999747378752e-06,0.8343260884284973,0.6953551769256592,0.7456002235412598
8,0.7378243207931519,9.999999747378752e-06,0.8061363697052002,0.7117486596107483,0.7258396744728088
9,0.7633135914802551,1.9999999949504854e-06,0.806259274482727,0.7172130942344666,0.7146198749542236
10,0.7614929676055908,1.9999999949504854e-06,0.8100255131721497,0.7062841653823853,0.7205321788787842
