epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.44833865761756897,0.0010000000474974513,1.5478655099868774,0.5956284403800964,1.0387405157089233
1,0.5976331233978271,0.0010000000474974513,1.244615077972412,0.5765027403831482,1.048257827758789
2,0.6436049342155457,0.0010000000474974513,1.1432112455368042,0.6407103538513184,0.8735502362251282
3,0.6404187679290771,0.0010000000474974513,1.1152794361114502,0.6680327653884888,0.840411901473999
4,0.668639063835144,0.0010000000474974513,1.0767956972122192,0.5696721076965332,1.0581929683685303
5,0.673190712928772,0.0010000000474974513,1.0309841632843018,0.6530054807662964,0.8318867683410645
6,0.6873008608818054,0.0010000000474974513,0.9879089593887329,0.6912568211555481,0.7843212485313416
7,0.6781975626945496,0.0010000000474974513,1.018929123878479,0.6379781365394592,0.8559421896934509
8,0.7082384824752808,0.0010000000474974513,0.951487123966217,0.5751366019248962,1.0466824769973755
9,0.690031886100769,0.0010000000474974513,0.9726682305335999,0.7459016442298889,0.7132420539855957
