epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7455621361732483,9.999999747378752e-06,0.8223803043365479,0.6967213153839111,0.7544917464256287
1,0.7683204412460327,9.999999747378752e-06,0.7968369722366333,0.688524603843689,0.7744242548942566
2,0.7669549584388733,9.999999747378752e-06,0.7782052755355835,0.6844262480735779,0.7637170553207397
3,0.7664997577667236,9.999999747378752e-06,0.7702388167381287,0.6898906826972961,0.7534012198448181
4,0.7774237394332886,9.999999747378752e-06,0.7466367483139038,0.6775956153869629,0.7753618359565735
5,0.7664997577667236,9.999999747378752e-06,0.7457566261291504,0.6926229596138,0.7528092265129089
6,0.7719617486000061,9.999999747378752e-06,0.7527899742126465,0.7144808769226074,0.7191488742828369
7,0.7824305891990662,9.999999747378752e-06,0.7372884750366211,0.6830601096153259,0.7689574360847473
8,0.7878925800323486,9.999999747378752e-06,0.7196391820907593,0.6898906826972961,0.7575506567955017
9,0.7888029217720032,9.999999747378752e-06,0.7168993353843689,0.687158465385437,0.767569899559021
10,0.7992717623710632,1.9999999949504854e-06,0.6831250786781311,0.6912568211555481,0.7547440528869629
11,0.7865270972251892,1.9999999949504854e-06,0.6898829936981201,0.6994535326957703,0.7424609661102295
